id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	"afzal, farkhanda"	-0.4308	-0.283	12	4	4	1	3	0.1395	2022	3	0.1395
2	"alanazi, eisa"	-0.1785	0.0938	8	5	5	1	29	1.7313	2021	29	1.7313
3	"alasmary, waleed"	-0.1282	0.0718	8	5	5	1	29	1.7313	2021	29	1.7313
4	"alduailij, mai"	-0.1794	0.992	15	3	3	1	5	0.7407	2023	5	0.7407
5	"anedda, matteo"	-0.1407	-0.4844	2	4	4	1	5	0.7407	2023	5	0.7407
6	"asghar, ikram"	-0.4807	-0.2918	12	4	4	1	3	0.1395	2022	3	0.1395
7	"bati, ghassan f."	0.9837	0.6184	25	1	1	1	1	0.0597	2021	1	0.0597
8	"ben ayed, mounir"	0.6069	0.7099	19	2	2	1	13	0.6047	2022	13	0.6047
9	"cai, chenpeng"	-0.0981	0.4911	10	5	5	1	11	2.75	2024	11	2.75
10	"cascone, lucia"	0.249	0.8916	11	5	5	1	16	2.3704	2023	16	2.3704
11	"ceccarini, chiara"	-0.0616	-0.2648	2	3	3	1	32	1.4884	2022	32	1.4884
12	"chelloug, samia allaoua"	-0.2147	0.9606	15	3	3	1	5	0.7407	2023	5	0.7407
13	"chen, honglong"	-0.8038	-0.0155	1	6	6	1	31	1.0333	2020	31	1.0333
14	"chen, jing"	-0.8432	-0.0634	1	6	6	1	31	1.0333	2020	31	1.0333
15	"chilamkurti, naveen"	0.4747	-1.0714	23	1	1	1	478	1.695	2018	478	1.695
16	"dahou, abdelghani"	-0.1828	0.9245	15	3	3	1	5	0.7407	2023	5	0.7407
17	"dai, tao"	0.2628	0.4267	3	7	7	1	5	0.2326	2022	5	0.2326
18	"de albuquerque, victorhugo c."	0.3716	-0.3657	5	6	6	1	86	0.305	2018	86	0.305
19	"delnevo, giovanni"	-0.0419	-0.3102	2	3	3	1	32	1.4884	2022	32	1.4884
20	"diro, abebe abeshu"	0.4569	-1.0911	23	1	1	1	478	1.695	2018	478	1.695
21	"duong, trung q."	0.793	0.3789	13	4	4	1	12	0.4	2020	12	0.4
22	"elaziz, mohamed abd"	-0.1472	0.9567	15	3	3	1	5	0.7407	2023	5	0.7407
23	"fadda, mauro"	-0.0722	-0.4475	2	4	4	1	5	0.7407	2023	5	0.7407
24	"fan, hongchao"	-0.5153	-0.8121	7	6	6	1	21	0.9767	2022	21	0.9767
25	"feng, xi"	0.2808	0.3179	3	7	7	1	5	0.2326	2022	5	0.2326
26	"gan, chenquan"	0.8014	-0.435	14	4	4	1	5	0.2326	2022	5	0.2326
27	"gao, xinbo"	-0.5354	0.3287	6	6	6	1	60	2.7907	2022	60	2.7907
28	"ghazzai, hakim"	1.0259	-0.0394	16	3	3	1	2	0.093	2022	2	0.093
29	"girau, roberto"	-0.0866	-0.3736	2	7	7	2	37	2.2291	2022.5	18.5	1.1146
30	"giusto, daniele"	-0.0865	-0.4967	2	4	4	1	5	0.7407	2023	5	0.7407
31	"guo, jun"	-0.569	0.8336	17	3	3	1	4	0.2388	2021	4	0.2388
32	"guo, lei"	-0.5148	0.4362	6	6	6	1	60	2.7907	2022	60	2.7907
33	"guo, zhiwei"	0.152	-0.8047	4	4	4	1	90	4.186	2022	90	4.186
34	"gupta, deepak"	0.3116	-0.3864	5	6	6	1	86	0.305	2018	86	0.305
35	"hamrouni, aymen"	0.9794	-0.0512	16	3	3	1	2	0.093	2022	2	0.093
36	"hu, xuke"	-0.4825	-0.7059	7	6	6	1	21	0.9767	2022	21	0.9767
37	"humayun, mohammad ali"	-0.2077	0.1416	8	5	5	1	29	1.7313	2021	29	1.7313
38	"jemal, hanen"	0.6067	0.7517	19	2	2	1	13	0.6047	2022	13	0.6047
39	"jiang, nan"	-0.881	0.0208	1	9	10	2	78	2.6	2020	39	1.3
40	"jing, peiguang"	0.5704	-0.035	9	5	5	1	0	0	2024	0	0
