id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	adaptation models	-0.2805	-0.627	3	11	11	1	2022	21	0.9767
2	adaptive trust weight (atw) model	0.695	0.7629	6	5	5	1	2022	3	0.1395
3	agriculture	0.4614	0.1783	9	9	9	1	2022	32	1.4884
4	ai (artificial intelligence)	1.9845	0.0894	14	4	4	1	2022	3	0.1395
5	ann (artificial neural network)	2.0003	0.0934	14	4	4	1	2022	3	0.1395
6	anomaly detection	0.6457	-0.005	7	2	2	1	2021	4	0.2388
7	artificial intelligence	-0.0632	0.3482	1	17	19	2	2021.5	16	0.9354
8	attention mechanism	0.4237	-0.3645	2	4	4	1	2022	5	0.2326
9	bert	0.3111	-0.4332	2	17	17	2	2022	13	0.6047
10	bertweet	0.1543	-0.5584	2	13	13	1	2022	21	0.9767
11	bi-lstm	0.4377	-0.3501	2	4	4	1	2022	5	0.2326
12	big data	-0.0299	0.1262	1	13	15	2	2019.5	57.5	1.0182
13	blogs	0.1387	-0.5242	2	13	13	1	2022	21	0.9767
14	chaos game optimization (cgo)	0.2535	0.0671	7	3	3	1	2023	5	0.7407
15	classification algorithms	-0.2582	-0.4137	13	10	10	1	2023	1	0.1481
16	clothing	-0.1616	-0.1059	10	10	10	1	2024	0	0
17	clustering	-0.0819	0.1415	1	11	11	1	2021	29	1.7313
18	clustering algorithms	-0.1168	0.1571	1	11	11	1	2021	29	1.7313
19	collaboration	-0.3323	-0.6681	3	11	11	1	2022	21	0.9767
20	collaborative edge computing (cec)	0.4351	-0.1613	8	9	9	1	2022	60	2.7907
21	community detection	-0.6615	0.3646	4	8	8	1	2022	2	0.093
22	computational modeling	-0.4596	-0.473	3	18	20	2	2021.5	27	1.4734
23	computer architecture	-0.2567	0.347	15	8	8	1	2022	90	4.186
24	computer vision	-0.0572	0.5229	1	8	8	1	2022	3	0.1395
25	context awareness	-0.651	0.3409	4	8	8	1	2022	2	0.093
26	convolutional neural network	0.1554	0.7657	5	5	5	1	2023	16	2.3704
27	coupled interaction	-1.2099	0.0187	11	4	4	1	2022	5	0.2326
28	covid-19	0.1912	-0.483	2	13	13	1	2022	21	0.9767
29	cyber-physical system	-0.0726	0.4829	1	8	8	1	2022	3	0.1395
30	cybersecurity	-0.4265	0.3952	4	4	4	1	2018	478	1.695
31	data models	-0.2311	0.3699	15	8	8	1	2022	90	4.186
32	data protection	-0.1439	1.0219	5	5	5	1	2023	5	0.7407
33	data-to-text	-0.9713	-0.1262	11	2	2	1	2020	31	1.0333
34	deep learning	0.2716	0.3631	6	49	55	9	2021.5556	76.4444	1.4558
35	deep learning (dl)	0.2551	0.0825	7	3	3	1	2023	5	0.7407
36	deep q-networks	-1.1971	-0.3047	16	4	4	1	2024	11	2.75
37	deptsol	-0.0847	0.5106	1	8	8	1	2022	3	0.1395
38	device classification	-0.3138	-0.3855	13	10	10	1	2023	1	0.1481
39	devices tracking	-0.1295	1.0507	5	5	5	1	2023	5	0.7407
40	directed hypergraph	-0.6042	0.0588	1	3	3	1	2020	12	0.4
41	diseases	0.5006	0.17	9	9	9	1	2022	32	1.4884
42	edge computing	0.7	0.7948	6	5	5	1	2022	3	0.1395
43	edge-aided control	-1.193	0.0281	11	4	4	1	2022	5	0.2326
44	encoding	-0.2098	0.3423	15	8	8	1	2022	90	4.186
45	fashion recommendation	-0.1779	-0.135	10	10	10	1	2024	0	0
46	feature extraction	0.1237	-0.3493	8	30	32	3	2022.3333	27.3333	1.3052
47	feature selection	0.1925	0.0767	7	7	7	2	2020.5	45.5	0.5229
48	fog networks	-0.4276	0.3748	4	4	4	1	2018	478	1.695
49	gallium nitride	0.4692	-0.1635	8	9	9	1	2022	60	2.7907
50	game theory	-0.5901	0.0502	1	3	3	1	2020	12	0.4
